epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6147,1.46054,4.01495,1.82533,0.0141,0.88362,0.10176,0.04115,1.58863,3.26589,2.21743,0.000156864,0.000156864,0.000156864
2,55.1557,1.38913,3.40847,1.7305,0.23506,0.34536,0.17778,0.07296,1.92525,2.92884,2.51472,0.000314675,0.000314675,0.000314675
3,80.0448,1.47437,2.98321,1.77395,0.29229,0.42946,0.32904,0.1252,2.04527,3.32373,2.80204,0.000469068,0.000469068,0.000469068
4,98.9134,1.46268,2.65437,1.7446,0.37233,0.54619,0.46838,0.19931,1.86764,2.37515,2.44107,0.000464468,0.000464468,0.000464468
5,116.59,1.43015,2.46884,1.732,0.49559,0.59385,0.52614,0.2093,1.99423,2.45838,2.56156,0.00045563,0.00045563,0.00045563
6,134.67,1.43166,2.30134,1.72326,0.5959,0.54216,0.58387,0.28132,1.79832,2.4087,2.3002,0.000444433,0.000444433,0.000444433
7,152.457,1.40022,2.18649,1.68068,0.63544,0.56448,0.6472,0.31265,1.88249,1.81957,2.35187,0.000431001,0.000431001,0.000431001
8,170.57,1.41186,2.07588,1.69744,0.57608,0.58447,0.61574,0.31474,1.72231,1.83931,2.16899,0.00041548,0.00041548,0.00041548
9,188.6,1.36401,1.92042,1.67108,0.60839,0.60673,0.6472,0.29942,1.88017,1.84539,2.36441,0.000398041,0.000398041,0.000398041
10,206.523,1.3963,1.90091,1.6463,0.63279,0.69232,0.69158,0.35129,1.74628,1.56857,2.19458,0.000378874,0.000378874,0.000378874
11,224.688,1.34408,1.79896,1.61487,0.74103,0.6699,0.73473,0.3888,1.67023,1.48863,2.11256,0.00035819,0.00035819,0.00035819
12,243.161,1.34676,1.7929,1.62387,0.69199,0.67665,0.71726,0.3804,1.67171,1.82271,2.14732,0.000336215,0.000336215,0.000336215
13,261.066,1.31594,1.71189,1.5989,0.67906,0.69509,0.71257,0.35715,1.80821,1.49317,2.2434,0.000313191,0.000313191,0.000313191
14,279.051,1.2972,1.64545,1.5893,0.64182,0.74109,0.73858,0.36997,1.75246,1.5646,2.195,0.000289368,0.000289368,0.000289368
15,296.765,1.29187,1.61145,1.60249,0.71605,0.7342,0.7486,0.3762,1.77871,1.39883,2.25051,0.000265009,0.000265009,0.000265009
16,314.652,1.28493,1.54422,1.57567,0.73503,0.63888,0.733,0.37373,1.74372,1.48748,2.18869,0.00024038,0.00024038,0.00024038
17,332.54,1.25054,1.47529,1.55856,0.7807,0.70706,0.76338,0.3975,1.76005,1.41914,2.23899,0.000215751,0.000215751,0.000215751
18,351.909,1.24411,1.40968,1.53088,0.74712,0.76484,0.77918,0.41435,1.72106,1.29148,2.16463,0.000191392,0.000191392,0.000191392
19,370.931,1.21992,1.38222,1.5276,0.76757,0.77354,0.78677,0.39375,1.80581,1.29037,2.28793,0.000167569,0.000167569,0.000167569
20,388.661,1.20699,1.33568,1.50809,0.78899,0.74317,0.78608,0.38993,1.80649,1.22771,2.29286,0.000144545,0.000144545,0.000144545
21,404.71,1.18769,1.71614,1.70801,0.81709,0.66526,0.76109,0.39275,1.83798,1.30743,2.33505,0.00012257,0.00012257,0.00012257
22,420.561,1.13916,1.52143,1.66049,0.76649,0.77153,0.78178,0.4194,1.68493,1.2228,2.15719,0.000101886,0.000101886,0.000101886
23,436.635,1.12215,1.46394,1.605,0.83824,0.7782,0.79777,0.43451,1.65542,1.21458,2.11831,8.27194e-05,8.27194e-05,8.27194e-05
24,452.648,1.10522,1.38199,1.59802,0.8204,0.75737,0.80179,0.43327,1.68624,1.19672,2.1468,6.52802e-05,6.52802e-05,6.52802e-05
25,468.663,1.09349,1.34897,1.58105,0.82998,0.7388,0.79986,0.42436,1.73414,1.16777,2.2079,4.97594e-05,4.97594e-05,4.97594e-05
26,484.755,1.08546,1.34045,1.58476,0.87607,0.72812,0.80547,0.43477,1.71878,1.15484,2.18953,3.63271e-05,3.63271e-05,3.63271e-05
27,500.781,1.08109,1.31439,1.57987,0.85826,0.74114,0.8008,0.42398,1.73378,1.15836,2.20877,2.51304e-05,2.51304e-05,2.51304e-05
28,516.836,1.05458,1.31075,1.55817,0.8466,0.75439,0.79664,0.42245,1.73245,1.15296,2.21307,1.62921e-05,1.62921e-05,1.62921e-05
29,532.643,1.04111,1.31491,1.55945,0.84323,0.74247,0.79985,0.42987,1.71065,1.16519,2.18673,9.90886e-06,9.90886e-06,9.90886e-06
30,548.945,1.02354,1.27549,1.52475,0.85648,0.73556,0.80232,0.42947,1.71923,1.15469,2.20067,6.05075e-06,6.05075e-06,6.05075e-06
