epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.88496,1.15541,2.98489,1.64927,0.00331,0.95833,0.38353,0.24688,1.08386,3.00735,2.11146,0.00015003,0.00015003,0.00015003
2,12.0613,1.05069,2.56055,1.59346,0.00321,0.95833,0.64656,0.40859,0.96147,2.73946,1.84727,0.000306278,0.000306278,0.000306278
3,15.9628,0.91682,1.86469,1.46754,0.00354,0.95833,0.52925,0.33006,1.28489,2.59739,2.07953,0.000451524,0.000451524,0.000451524
4,20.185,1.12757,1.49722,1.52387,0.84695,0.15626,0.46974,0.23274,2.10512,2.57135,2.83976,0.000585767,0.000585767,0.000585767
5,24.2618,1.0597,1.45432,1.45556,0.61697,0.61804,0.6885,0.34574,1.53319,1.92242,2.42859,0.000709008,0.000709008,0.000709008
6,28.054,0.9571,1.29877,1.42033,0.52153,0.74741,0.67399,0.43963,1.27767,1.92164,2.22353,0.000821248,0.000821248,0.000821248
7,31.6826,1.02811,1.3855,1.47046,0.60838,0.77976,0.7114,0.43791,1.40663,1.93707,2.33115,0.000922484,0.000922484,0.000922484
8,35.5145,1.05176,1.31645,1.50308,0.65805,0.80357,0.7457,0.41509,1.5336,1.76835,2.40022,0.00101272,0.00101272,0.00101272
9,39.1568,1.04832,1.32365,1.49422,0.6369,0.73214,0.70686,0.39651,1.41796,1.83976,2.2759,0.00109195,0.00109195,0.00109195
10,42.8854,1.01768,1.34015,1.43972,0.71446,0.45238,0.57072,0.37542,1.19746,2.13149,2.06675,0.00116018,0.00116018,0.00116018
11,46.6551,0.94188,1.2921,1.41365,0.61213,0.67262,0.71794,0.41968,1.26764,1.96255,2.12927,0.00111689,0.00111689,0.00111689
12,50.4007,1.00196,1.25728,1.45936,0.60158,0.62076,0.66479,0.40657,1.28657,2.17047,2.18158,0.00106188,0.00106188,0.00106188
13,54.1509,0.96073,1.17418,1.41517,0.73004,0.4264,0.42148,0.26862,1.18887,3.99402,2.11355,0.00100687,0.00100687,0.00100687
14,57.8717,0.98786,1.17926,1.41401,0.69191,0.41667,0.27567,0.1785,1.26455,4.92856,2.23192,0.000951857,0.000951857,0.000951857
